HFO_idx,chanIdx,startTime,stopTime,isValid
591,11,2993.435639671875,2993.460297875,0
592,12,2413.18637209375,2413.206391625,0
593,12,2420.999604515625,2421.01449709375,0
594,12,2687.12240725,2687.147553734375,0
595,12,2763.96566896875,2763.990327171875,0
596,12,2841.76547365625,2841.792084984375,0
597,12,2843.931733421875,2843.959565453125,0
598,13,2413.181245140625,2413.217377953125,1
599,13,2413.745454125,2413.794526390625,0
600,13,2469.464936546875,2469.513276390625,0
601,13,2512.581635765625,2512.60238771875,0
602,13,2571.1741650625,2571.19271975,0
603,13,2621.146577171875,2621.168061546875,0
604,13,2663.4300244375,2663.45834475,0
605,13,2682.692475609375,2682.72250490625,0
606,13,2727.904389671875,2727.921967796875,0
607,13,2750.818452171875,2750.841889671875,0
608,13,2830.0960400625,2830.1175244375,0
609,13,2869.431245140625,2869.452241234375,0
610,13,2875.070893578125,2875.12484865625,0
611,13,2931.714204125,2931.74984865625,0
612,13,2972.623627953125,2972.6624463125,0
613,13,2988.62191896875,2988.642670921875,0
614,13,2992.8108838125,2992.835053734375,0
615,13,2994.0022900625,2994.025971703125,0
616,14,2413.174409203125,2413.2464306875,0
617,14,2413.80209475,2413.825288109375,0
618,14,2416.472016625,2416.514741234375,0
619,14,2418.26742678125,2418.32113771875,0
620,14,2468.835053734375,2468.87582521875,0
621,14,2469.446870140625,2469.563081078125,0
622,14,2511.2171338125,2511.252534203125,0
623,14,2511.833588890625,2511.9007275625,1
624,14,2513.860932640625,2513.895112328125,0
625,14,2574.88070803125,2574.9104931875,0
626,14,2579.47543459375,2579.523042015625,0
627,14,2621.155854515625,2621.186127953125,0
628,14,2682.680756859375,2682.741547875,0
629,14,2688.569672875,2688.5999463125,0
630,14,2779.81430178125,2779.882417015625,0
631,14,2829.079194359375,2829.11410646875,0
632,14,2829.57016115625,2829.618501,0
633,14,2842.446870140625,2842.494233421875,0
634,14,2867.78646975,2867.833100609375,1
635,14,2868.963959984375,2869.019135765625,0
636,14,2869.43539553125,2869.465424828125,1
637,14,2874.5081494375,2874.532807640625,0
638,14,2875.070405296875,2875.1370556875,0
639,14,2931.713959984375,2931.7483838125,0
640,14,2932.793061546875,2932.854584984375,0
641,14,2958.102143578125,2958.135346703125,0
642,14,2966.752534203125,2966.77719240625,0
643,14,2970.355073265625,2970.39730959375,0
644,14,2971.503022484375,2971.53305178125,0
645,14,2972.018159203125,2972.109467796875,0
646,14,2986.841889671875,2986.9222119375,0
647,14,2987.415376,2987.468354515625,0
648,14,2988.616547875,2988.646577171875,0
649,14,2994.003266625,2994.04428225,0
650,15,2415.292573265625,2415.325776390625,0
651,15,2511.842377953125,2511.87191896875,0
652,15,2868.964448265625,2869.018159203125,0
